listing_id,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
254800,Entire home/apt,Entire rental unit,Centrum-West,2,1.0,,1.5,,2,1125,False,False,1,63.0,63.0,338.7936507936508,1555.0,1397.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
255809,Private room,Private room in villa,De Pijp - Rivierenbuurt,4,2.0,2.0,1.0,279.0,2,30,False,True,1,269.0,267.0,227.14126394052045,1003.0,341.0,90,1.0,2.0,30.0,30,1.0,2.0,30.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
256670,Entire home/apt,Entire condo,De Baarsjes - Oud-West,4,3.0,,3.0,,5,30,False,False,1,10.0,10.0,634.9,1536.0,368.0,0,0.0,5.0,30.0,0,0.0,5.0,30.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
262394,Private room,Private room in rental unit,Zuid,2,,,1.0,,3,30,False,False,1,113.0,113.0,388.23893805309734,1635.0,2500.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
274706,Entire home/apt,Entire rental unit,Centrum-West,4,2.0,,1.0,,4,40,False,False,1,44.0,43.0,388.52272727272725,1191.0,1006.0,0,0.0,4.0,40.0,0,0.0,4.0,40.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
283170,Entire home/apt,Entire rental unit,Zuid,8,5.0,8.0,1.5,1036.0,2,90,False,False,1,130.0,130.0,278.88461538461536,1374.0,422.0,25,0.2777777777777778,2.0,90.0,0,0.0,2.0,90.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
286500,Private room,Private room in rental unit,Centrum-West,2,1.0,1.0,1.0,184.0,3,365,True,True,2,413.0,412.0,274.46731234866826,1373.0,349.0,0,0.0,30.0,1125.0,0,0.0,30.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
290701,Private room,Private room in home,Centrum-West,2,1.0,1.0,1.0,184.0,3,365,True,True,2,491.0,489.0,242.6130346232179,1939.0,340.0,0,0.0,30.0,1125.0,0,0.0,30.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
291752,Private room,Private room in rental unit,Oud-Oost,2,1.0,1.0,1.0,141.0,3,1125,False,True,1,283.0,281.0,327.9187279151943,1256.0,413.0,90,1.0,3.0,1125.0,30,1.0,3.0,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
304082,Entire home/apt,Entire guesthouse,Centrum-West,2,1.0,1.0,1.5,185.0,2,1125,False,True,1,381.0,376.0,226.45931758530185,1369.0,353.0,76,0.8444444444444444,2.433333333333333,1125.0,23,0.7666666666666667,2.4,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
306852,Entire home/apt,Entire rental unit,Centrum-Oost,4,2.0,2.0,1.5,200.0,4,21,False,False,3,32.0,32.0,347.46875,1965.0,1228.0,0,0.0,4.0,21.0,0,0.0,4.0,21.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
307497,Entire home/apt,Boat,Westerpark,16,10.0,26.0,2.5,948.0,2,30,False,True,2,103.0,103.0,280.873786407767,1576.0,821.0,61,0.6777777777777778,2.0,30.0,8,0.26666666666666666,2.0,30.0,30,26,0.8666666666666667,0,2026-08-11,v1_audit_cleaned
307621,Entire home/apt,Entire rental unit,Centrum-Oost,2,1.0,1.0,1.0,134.0,3,21,False,False,3,6.0,6.0,464.6666666666667,959.0,1233.0,0,0.0,3.0,21.0,0,0.0,3.0,21.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
